scenario,mode,snr_db,blocks,bits,ber_iter1,ber_iter5,ber_iter10,elapsed_s
memoryless_mild_pa,mismatch,0,5,20480,0.34619140625,0.338134765625,0.338134765625,0.11237287521362305
memoryless_mild_pa,mismatch,1,5,20480,0.314306640625,0.30166015625,0.3013671875,0.09056806564331055
memoryless_mild_pa,mismatch,2,8,32768,0.27984619140625,0.2529296875,0.252899169921875,0.1815335750579834
memoryless_mild_pa,mismatch,3,10,40960,0.247216796875,0.201171875,0.200146484375,0.18348145484924316
memoryless_mild_pa,mismatch,4,12,49152,0.20654296875,0.12715657552083334,0.10585530598958333,0.22651457786560059
memoryless_mild_pa,mismatch,4.5,15,61440,0.17628580729166668,0.060693359375,0.008756510416666667,0.2773704528808594
memoryless_mild_pa,mismatch,5,20,81920,0.16270751953125,0.02266845703125,0.0,0.3620641231536865
memoryless_mild_pa,mismatch,5.5,25,102400,0.133427734375,0.0021875,0.0,0.4419069290161133
memoryless_mild_pa,mismatch,6,30,122880,0.11273600260416666,3.255208333333333e-05,0.0,0.5373706817626953
memoryless_mild_pa,memoryless_pa,0,5,20480,0.33984375,0.332080078125,0.332080078125,0.09420418739318848
memoryless_mild_pa,memoryless_pa,1,5,20480,0.3056640625,0.289013671875,0.289111328125,0.09168434143066406
memoryless_mild_pa,memoryless_pa,2,8,32768,0.2862548828125,0.26055908203125,0.260772705078125,0.1552581787109375
memoryless_mild_pa,memoryless_pa,3,10,40960,0.2412353515625,0.1968017578125,0.1955810546875,0.18987584114074707
memoryless_mild_pa,memoryless_pa,4,12,49152,0.2039794921875,0.12123616536458333,0.09332275390625,0.22405266761779785
memoryless_mild_pa,memoryless_pa,4.5,15,61440,0.181396484375,0.06640625,0.013590494791666666,0.30004405975341797
memoryless_mild_pa,memoryless_pa,5,20,81920,0.15263671875,0.0156494140625,9.765625e-05,0.3844869136810303
memoryless_mild_pa,memoryless_pa,5.5,25,102400,0.131767578125,0.0019921875,0.0,0.47278904914855957
memoryless_mild_pa,memoryless_pa,6,30,122880,0.10880533854166667,0.0,0.0,0.5453557968139648
memoryless_mild_pa,sequence,0,5,20480,0.3513671875,0.34306640625,0.34296875,0.668342113494873
memoryless_mild_pa,sequence,1,5,20480,0.321435546875,0.30693359375,0.306494140625,0.6703195571899414
memoryless_mild_pa,sequence,2,8,32768,0.28546142578125,0.261962890625,0.261199951171875,1.0600497722625732
memoryless_mild_pa,sequence,3,10,40960,0.243896484375,0.2090087890625,0.2092041015625,1.329296350479126
memoryless_mild_pa,sequence,4,12,49152,0.20363362630208334,0.13169352213541666,0.11566162109375,1.5984296798706055
