scenario,mode,snr_db,blocks,bits,ber_iter1,ber_iter5,ber_iter10,elapsed_s
seen_phase_strong_pa,sequence,4.5,15,61440,0.43649088541666664,0.432568359375,0.4327473958333333,2.044755458831787
seen_phase_strong_pa,sequence,5,20,81920,0.4339111328125,0.43353271484375,0.432958984375,2.7407751083374023
seen_phase_strong_pa,sequence,5.5,25,102400,0.431728515625,0.42966796875,0.430087890625,3.3786683082580566
seen_phase_strong_pa,sequence,6,30,122880,0.4284586588541667,0.4271484375,0.4278483072916667,4.043151378631592
seen_phase_strong_pa,oracle,0,5,20480,0.368115234375,0.363037109375,0.36298828125,0.09489870071411133
seen_phase_strong_pa,oracle,1,5,20480,0.34833984375,0.339990234375,0.339892578125,0.09165239334106445
seen_phase_strong_pa,oracle,2,8,32768,0.32135009765625,0.307342529296875,0.3072509765625,0.14470362663269043
seen_phase_strong_pa,oracle,3,10,40960,0.2913818359375,0.2669189453125,0.26708984375,0.1833798885345459
seen_phase_strong_pa,oracle,4,12,49152,0.2534993489583333,0.21818033854166666,0.21700032552083334,0.22694087028503418
seen_phase_strong_pa,oracle,4.5,15,61440,0.22874348958333332,0.17755533854166666,0.17467447916666667,0.3049788475036621
seen_phase_strong_pa,oracle,5,20,81920,0.2094970703125,0.1369140625,0.124169921875,0.36562228202819824
seen_phase_strong_pa,oracle,5.5,25,102400,0.182509765625,0.08193359375,0.031484375,0.45688390731811523
seen_phase_strong_pa,oracle,6,30,122880,0.16090494791666668,0.0297607421875,0.0003255208333333333,0.5671288967132568
edge_phase_unseen_pa,mismatch,0,5,20480,0.520458984375,0.517578125,0.517626953125,0.09860515594482422
edge_phase_unseen_pa,mismatch,1,5,20480,0.5203125,0.51806640625,0.518115234375,0.09169769287109375
edge_phase_unseen_pa,mismatch,2,8,32768,0.5272216796875,0.526123046875,0.52618408203125,0.1444840431213379
edge_phase_unseen_pa,mismatch,3,10,40960,0.53466796875,0.532373046875,0.532421875,0.18385076522827148
edge_phase_unseen_pa,mismatch,4,12,49152,0.5370686848958334,0.5353597005208334,0.5352376302083334,0.22261500358581543
edge_phase_unseen_pa,mismatch,4.5,15,61440,0.5361328125,0.5337565104166667,0.533154296875,0.27592039108276367
edge_phase_unseen_pa,mismatch,5,20,81920,0.53709716796875,0.5373779296875,0.53629150390625,0.36460351943969727
edge_phase_unseen_pa,mismatch,5.5,25,102400,0.541865234375,0.539384765625,0.5389453125,0.4552490711212158
edge_phase_unseen_pa,mismatch,6,30,122880,0.5421712239583333,0.5439127604166667,0.5432535807291666,0.5435893535614014
