mode,snr_db,blocks,bits,ber_iter1,ber_iter5,ber_iter10,elapsed_s
mismatch,0,20,81920,0.36640625,0.36031494140625,0.360302734375,0.4051532745361328
mismatch,1,20,81920,0.34315185546875,0.33388671875,0.33399658203125,0.3730626106262207
mismatch,2,30,122880,0.31593424479166665,0.3004638671875,0.3005126953125,0.5612757205963135
mismatch,3,40,163840,0.284033203125,0.2591064453125,0.25921630859375,0.74643874168396
mismatch,4,60,245760,0.24554443359375,0.20541585286458333,0.20539143880208333,1.1186408996582031
mismatch,4.5,80,327680,0.2265411376953125,0.176055908203125,0.1735015869140625,1.4905014038085938
mismatch,5,120,491520,0.207830810546875,0.13850504557291668,0.12350260416666667,2.24228572845459
mismatch,5.5,160,655360,0.1867828369140625,0.0902587890625,0.0423370361328125,2.948225975036621
mismatch,6,200,819200,0.165361328125,0.0435107421875,0.002264404296875,3.621556520462036
pa_aware,0,20,81920,0.36602783203125,0.36087646484375,0.360888671875,0.370985746383667
pa_aware,1,20,81920,0.341943359375,0.33326416015625,0.3332275390625,0.3717949390411377
pa_aware,2,30,122880,0.3117268880208333,0.2939860026041667,0.2939453125,0.5545179843902588
pa_aware,3,40,163840,0.275274658203125,0.24976806640625,0.24967041015625,0.7394084930419922
pa_aware,4,60,245760,0.23734537760416666,0.19332275390625,0.192431640625,1.0982356071472168
pa_aware,4.5,80,327680,0.2162322998046875,0.15355224609375,0.147052001953125,1.492518663406372
pa_aware,5,120,491520,0.19444783528645834,0.10113525390625,0.06023763020833333,2.223292350769043
pa_aware,5.5,160,655360,0.17199249267578126,0.05089569091796875,0.00377044677734375,2.973909854888916
pa_aware,6,200,819200,0.150260009765625,0.014259033203125,0.0,3.891388416290283
proposed,0,20,81920,0.3656494140625,0.3607666015625,0.3612060546875,2.152857780456543
proposed,1,20,81920,0.34468994140625,0.3354736328125,0.33411865234375,2.0767743587493896
proposed,2,30,122880,0.31442057291666664,0.298291015625,0.2979736328125,3.092034339904785
proposed,3,40,163840,0.277459716796875,0.253167724609375,0.252679443359375,4.102438926696777
proposed,4,60,245760,0.2383056640625,0.19605305989583333,0.19485270182291667,6.034860849380493
proposed,4.5,80,327680,0.2173919677734375,0.158880615234375,0.1535247802734375,8.049428701400757
proposed,5,120,491520,0.19608357747395833,0.11278483072916666,0.08590291341145834,12.04068112373352
proposed,5.5,160,655360,0.17350006103515625,0.0609954833984375,0.01120147705078125,15.982226848602295
proposed,6,200,819200,0.1508349609375,0.019385986328125,1.46484375e-05,20.46332621574402
