scenario,mode,snr_db,blocks,bits,ber_iter1,ber_iter5,ber_iter10,elapsed_s
mild_seen,mismatch,0,80,327680,0.3473297119140625,0.338995361328125,0.33895263671875,1.5216054916381836
mild_seen,mismatch,1,80,327680,0.316619873046875,0.3020294189453125,0.302142333984375,1.4975929260253906
mild_seen,mismatch,2,120,491520,0.2848307291666667,0.26049601236979164,0.2604777018229167,2.287170648574829
mild_seen,mismatch,3,160,655360,0.246337890625,0.20355377197265626,0.20262908935546875,3.0861573219299316
mild_seen,mismatch,4,250,1024000,0.202873046875,0.1173916015625,0.087728515625,4.784708023071289
mild_seen,mismatch,4.5,400,1638400,0.1804962158203125,0.063355712890625,0.00978515625,7.388803720474243
mild_seen,mismatch,5,700,2867200,0.15833705357142858,0.020208914620535715,5.615234375e-05,12.591988801956177
mild_seen,mismatch,5.5,900,3686400,0.13578152126736112,0.0022998046875,7.595486111111111e-06,16.08186912536621
mild_seen,mismatch,6,1200,4915200,0.11345072428385417,0.00011474609375,0.0,21.357520580291748
mild_seen,proposed,0,80,327680,0.3455657958984375,0.3365692138671875,0.3361541748046875,8.195417642593384
mild_seen,proposed,1,80,327680,0.3150665283203125,0.3002655029296875,0.299957275390625,8.194843292236328
mild_seen,proposed,2,120,491520,0.282720947265625,0.2581685384114583,0.258062744140625,12.28490948677063
mild_seen,proposed,3,160,655360,0.2442718505859375,0.20445709228515624,0.20386962890625,16.324355363845825
mild_seen,proposed,4,250,1024000,0.20360546875,0.12480859375,0.1057392578125,25.5021812915802
mild_seen,proposed,4.5,400,1638400,0.1802227783203125,0.06870849609375,0.016075439453125,40.89936399459839
mild_seen,proposed,5,700,2867200,0.15746303013392857,0.022454659598214285,6.452287946428572e-05,71.42407989501953
mild_seen,proposed,5.5,900,3686400,0.134873046875,0.0027360026041666667,0.0,95.38768553733826
mild_seen,proposed,6,1200,4915200,0.11193013509114583,9.21630859375e-05,0.0,125.05430674552917
mild_seen,pa_aware,0,80,327680,0.3448272705078125,0.33624267578125,0.3362518310546875,1.5019214153289795
